iter	Passed	Remaining
0	902	529566
1	1786	523334
2	2806	547313
3	3664	535057
4	4453	519311
5	5253	509617
6	6327	525176
7	7430	538697
8	8223	529075
9	9089	525391
10	9951	521991
11	10756	516305
12	11583	512327
13	12491	512140
14	13163	502847
15	13964	499221
16	14846	498653
17	15727	498043
18	16707	500353
19	17819	506059
20	18640	503280
21	19553	503051
22	20343	499737
23	21411	503159
24	22287	501910
25	23177	500999
26	23987	498416
27	25088	501767
28	25974	500675
29	26959	501454
30	27992	502953
31	28921	502503
32	29956	503819
33	30917	503780
34	32097	507144
35	33164	508522
36	34097	507775
37	35016	506823
38	35876	505028
39	36420	498961
40	37142	495528
41	37910	492830
42	38778	491501
43	39284	485694
44	40210	485207
45	41086	484106
46	41833	481533
47	42522	478376
48	43253	475789
49	43974	473170
50	44989	473714
51	45747	471551
52	46714	471547
53	47540	470126
54	48256	467653
55	48947	465004
56	49855	464443
57	50674	463061
58	51440	461221
59	52401	461134
60	53208	459686
61	54142	459341
62	54999	458328
63	55872	457452
64	56569	455169
65	57191	452332
66	57900	450238
67	58757	449318
68	59487	447449
69	60326	446417
70	61231	445871
71	62060	444767
72	62807	443096
73	63526	441253
74	64233	439354
75	64994	437858
76	65860	437071
77	66719	436245
78	67465	434683
79	68426	434509
80	69174	432980
81	70119	432691
82	70958	431733
83	71803	430822
84	72636	429837
85	73173	427129
86	73905	425596
87	74709	424487
88	75524	423447
89	76574	423709
90	77804	424930
91	78864	425183
92	79709	424261
93	80533	423229
94	81151	421134
95	81873	419602
96	82755	418896
97	83548	417740
98	84184	415819
99	84827	413957
100	85744	413442
101	86570	412483
102	87445	411756
103	88464	411702
104	89287	410721
105	90212	410209
106	90944	408827
107	91842	408190
108	92689	407322
109	93676	407067
110	94364	405510
111	95325	405133
112	96224	404482
113	96942	403077
114	97716	401913
115	98474	400689
116	99329	399865
117	100218	399175
118	101101	398460
119	101967	397672
120	102803	396771
121	103647	395900
122	104641	395596
123	105483	394712
124	106253	393563
125	107056	392540
126	107686	390892
127	108399	389562
128	109286	388855
129	110030	387645
130	110775	386444
131	111591	385497
132	112557	385066
133	113339	384001
134	114123	382948
135	115082	382480
136	115855	381393
137	116644	380362
138	117711	380235
139	118419	378943
140	119005	377271
141	119962	376782
142	120789	375883
143	121617	374987
144	122557	374435
145	123497	373877
146	124336	373009
147	125131	372012
148	126044	371367
149	126782	370206
150	127656	369441
151	128479	368532
152	129122	367113
153	129612	365272
154	130200	363721
155	130857	362375
156	131659	361435
157	132289	360027
158	133142	359234
159	133897	358176
160	134659	357139
161	135177	355468
162	136035	354693
163	136867	353853
164	137696	353002
165	138601	352348
166	139378	351367
167	140349	350872
168	141390	350547
169	142207	349662
170	142942	348578
171	143798	347792
172	144550	346754
173	145265	345631
174	146063	344709
175	146915	343916
176	147805	343208
177	148434	341899
178	149191	340889
179	149971	339935
180	150584	338606
181	151416	337774
182	152051	336508
183	152942	335808
184	153755	334936
185	154560	334049
186	155276	332971
187	156088	332102
188	157015	331477
189	157887	330732
190	158590	329634
191	159515	329000
192	160324	328125
193	160942	326862
194	161795	326079
195	162669	325338
196	163209	323933
197	163874	322783
198	164626	321808
199	165375	320829
200	165955	319526
201	166544	318247
202	167293	317281
203	168188	316590
204	169000	315742
205	169702	314691
206	170562	313933
207	171478	313278
208	172230	312321
209	173002	311404
210	173728	310406
211	174517	309522
212	175342	308701
213	175878	307376
214	176705	306563
215	177519	305727
216	178219	304697
217	178866	303579
218	179365	302219
219	180186	301403
220	181047	300654
221	181850	299807
222	182813	299224
223	183833	298729
224	184548	297737
225	185387	296947
226	186394	296424
227	187268	295687
228	188206	295048
229	189114	294360
230	189965	293582
231	190668	292577
232	191629	291967
233	192364	291012
234	193124	290098
235	194059	289445
236	195017	288823
237	195896	288083
22940	330177
237	223856	329200
238	224635	328023
239	225529	327018
240	226394	325970
241	227238	324894
242	228172	323948
243	229096	322989
244	229727	321618
245	230545	320515
246	231492	319590
247	232350	318545
248	233343	317684
249	234302	316776
250	235154	315725
251	235931	314575
252	236751	313485
253	237560	312382
254	238463	311405
255	239361	310421
256	240202	309366
257	241030	308294
258	241767	307109
259	242649	306111
260	243264	304779
261	243991	303591
262	244665	302343
263	245719	301565
264	246577	300544
265	247191	299231
266	247937	298081
267	248580	296812
268	249439	295803
269	250353	294860
270	251241	293887
271	252006	292772
272	252862	291763
273	253700	290737
274	254577	289755
275	255294	288594
276	256094	287528
277	256928	286503
278	257701	285411
279	258647	284512
280	259479	283488
281	260098	282234
282	260789	281062
283	261390	279797
284	262261	278825
285	263019	277734
286	263778	276646
287	264481	275501
288	265152	274327
289	266069	273409
290	266892	272395
291	267678	271344
292	268209	270040
293	268953	268953
294	269785	267956
295	270586	266929
296	271589	266102
297	272336	265025
298	273106	263972
299	273962	263003
300	274809	262027
301	275699	261093
302	276555	260126
303	277527	259268
304	278399	258317
305	279302	257396
306	280124	256401
307	280872	255338
308	281698	254348
309	282588	253418
310	283592	252588
311	284361	251550
312	285201	250576
313	286238	249774
314	287023	248753
315	287711	247650
316	288672	246783
317	289794	246051
318	290941	245339
319	291869	244440
320	292426	243233
321	292838	241909
2	304201	168582
323	305057	167593
324	305959	166630
325	306746	165605
326	307449	164536
327	308348	163574
328	309079	162525
329	309695	161416
330	310525	160422
331	311236	159368
332	311707	158193
333	312535	157203
334	313411	156237
335	314301	155279
336	315276	154364
337	316134	153390
338	316921	152384
339	317847	151445
340	318531	150391
341	319341	149399
342	319963	148321
343	320785	147337
344	321611	146356
345	322275	145303
346	322847	144211
347	323648	143223
348	324414	142221
349	325179	141220
350	325871	140189
351	326794	139258
352	327720	138329
353	328442	137314
354	329265	136343
355	329919	135304
356	330733	134331
357	331524	133350
358	332335	132378
359	333007	131352
360	333707	130340
361	334655	129424
362	335444	128448
363	336089	127418
364	336805	126417
365	337857	125542
366	338652	124572
367	339513	123627
368	340370	122680
369	341314	121766
370	342178	120823
371	343134	119912
372	344014	118975
373	344829	118016
374	345688	117073
375	346690	116178
376	347411	115189
377	348343	114271
378	349126	113304
379	349991	112365
380	350671	111368
381	351685	110477
382	352700	109585
383	353711	108692
384	354426	107708
385	355295	106772
386	356097	105817
387	357361	104998
388	358050	104009
89	352348	101187
390	353121	100246
391	353747	99265
392	354823	98411
393	355646	97486
394	356000	96435
375558	100528
396	376480	99572
397	377407	98619
398	378459	97697
399	379447	96758
400	380221	95766
